Column #	Length	Item #	Item Name	Section
538 - 539	2	391	Date of Diagnosis Flag	Cancer Identification
540 - 543	4	400	Primary Site	Cancer Identification
544 - 544	1	410	Laterality	Cancer Identification
545 - 549	5	419	Morph--Type&Behav ICD-O-2	Cancer Identification
545 - 548	4	420	Histology (92-00) ICD-O-2	Cancer Identification
549 - 549	1	430	Behavior (92-00) ICD-O-2	Cancer Identification
550 - 553	4	522	Histologic Type ICD-O-3	Cancer Identification
550 - 554	5	521	Morph--Type&Behav ICD-O-3	Cancer Identification
554 - 554	1	523	Behavior Code ICD-O-3	Cancer Identification
555 - 555	1	440	Grade	Cancer Identification
556 - 556	1	441	Grade Path Value	Cancer Identification
557 - 557	1	449	Grade Path System	Cancer Identification
558 - 558	1	450	Site Coding Sys--Current	Cancer Identification
559 - 559	1	460	Site Coding Sys--Original	Cancer Identification
560 - 560	1	470	Morph Coding Sys--Current	Cancer Identification
561 - 561	1	480	Morph Coding Sys--Originl	Cancer Identification
562 - 562	1	490	Diagnostic Confirmation	Cancer Identification
563 - 563	1	500	Type of Reporting Source	Cancer Identification
564 - 565	2	501	Casefinding Source	Cancer Identification
566 - 566	1	442	Ambiguous Terminology DX	Cancer Identification
567 - 574	8	443	Date Conclusive DX	Cancer Identification
575 - 576	2	448	Date Conclusive DX Flag	Cancer Identification
577 - 578	2	444	Mult Tum Rpt as One Prim	Cancer Identification
579 - 586	8	445	Date of Mult Tumors	Cancer Identification
587 - 588	2	439	Date of Mult Tumors Flag	Cancer Identification
589 - 590	2	446	Multiplicity Counter	Cancer Identification
591 - 690	100	680	Reserved 03	Cancer Identification
691 - 700	10	545	NPI--Reporting Facility	Hospital-Specific
701 - 710	10	540	Reporting Facility	Hospital-Specific
711 - 720	10	3105	NPI--Archive FIN	Hospital-Specific
721 - 730	10	3100	Archive FIN	Hospital-Specific
731 - 739	9	550	Accession Number--Hosp	Hospital-Specific
740 - 741	2	560	Sequence Number--Hospital	Hospital-Specific
742 - 744	3	570	Abstracted By	Hospital-Specific
745 - 752	8	580	Date of 1st Contact	Hospital-Specific
753 - 754	2	581	Date of 1st Contact Flag	Hospital-Specific
755 - 762	8	590	Date of Inpt Adm	Hospital-Specific
763 - 764	2	591	Date of Inpt Adm Flag	Hospital-Specific
765 - 772	8	600	Date of Inpt Disch	Hospital-Specific
773 - 774	2	601	Date of Inpt Disch Flag	Hospital-Specific
775 - 775	1	605	Inpatient Status	Hospital-Specific
776 - 777	2	610	Class of Case	Hospital-Specific
778 - 779	2	630	Primary Payer at DX	Hospital-Specific
780 - 780	1	2400	Reserved 15	Hospital-Specific
781 - 781	1	668	RX Hosp--Surg App 2010	Hospital-Specific
782 - 783	2	670	RX Hosp--Surg Prim Site	Hospital-Specific
784 - 784	1	672	RX Hosp--Scope Reg LN Sur	Hospital-Specific
785 - 785	1	674	RX Hosp--Surg Oth Reg/Dis	Hospital-Specific
786 - 787	2	676	RX Hosp--Reg LN Removed	Hospital-Specific
788 - 788	1	2450	Reserved 16	Hospital-Specific
789 - 789	1	690	RX Hosp--Radiation	Hospital-Specific
790 - 791	2	700	RX Hosp--Chemo	Hospital-Specific
792 - 793	2	710	RX Hosp--Hormone	Hospital-Specific
794 - 795	2	720	RX Hosp--BRM	Hospital-Specific
796 - 796	1	730	RX Hosp--Other	Hospital-Specific
797 - 798	2	740	RX Hosp--DX/Stg Proc	Hospital-Specific
799 - 799	1	3280	RX Hosp--Palliative Proc	Hospital-Specific
800 - 801	2	746	RX Hosp--Surg Site 98-02	Hospital-Specific
802 - 802	1	747	RX Hosp--Scope Reg 98-02	Hospital-Specific
803 - 803	1	748	RX Hosp--Surg Oth 98-02	Hospital-Specific
804 - 903	100	750	Reserved 04	Hospital-Specific
904 - 904	1	759	SEER Summary Stage 2000	Stage/Prognostic Factors
905 - 905	1	760	SEER Summary Stage 1977	Stage/Prognostic Factors
906 - 908	3	780	EOD--Tumor Size	Stage/Prognostic Factors
906 - 917	12	779	Extent of Disease 10-Dig	Stage/Prognostic Factors
909 - 910	2	790	EOD--Extension	Stage/Prognostic Factors
911 - 912	2	800	EOD--Extension Prost Path	Stage/Prognostic Factors
913 - 913	1	810	EOD--Lymph Node Involv	Stage/Prognostic Factors
914 - 915	2	820	Regional Nodes Positive	Stage/Prognostic Factors
916 - 917	2	830	Regional Nodes Examined	Stage/Prognostic Factors
918 - 930	13	840	EOD--Old 13 Digit	Stage/Prognostic Factors
931 - 932	2	850	EOD--Old 2 Digit	Stage/Prognostic Factors
933 - 936	4	860	EOD--Old 4 Digit	Stage/Prognostic Factors
937 - 937	1	870	Coding System for EOD	Stage/Prognostic Factors
938 - 939	2	1060	TNM Edition Number	Stage/Prognostic Factors
940 - 943	4	880	TNM Path T	Stage/Prognostic Factors
944 - 947	4	890	TNM Path N	Stage/Prognostic Factors
948 - 951	4	900	TNM Path M	Stage/Prognostic Factors
952 - 955	4	910	TNM Path Stage Group	Stage/Prognostic Factors
956 - 956	1	920	TNM Path Descriptor	Stage/Prognostic Factors
957 - 957	1	930	TNM Path Staged By	Stage/Prognostic Factors
958 - 961	4	940	TNM Clin T	Stage/Prognostic Factors
962 - 965	4	950	TNM Clin N	Stage/Prognostic Factors
966 - 969	4	960	TNM Clin M	Stage/Prognostic Factors
970 - 973	4	970	TNM Clin Stage Group	Stage/Prognostic Factors
974 - 974	1	980	TNM Clin Descriptor	Stage/Prognostic Factors
975 - 975	1	990	TNM Clin Staged By	Stage/Prognostic Factors
976 - 977	2	1120	Pediatric Stage	Stage/Prognostic Factors
978 - 979	2	1130	Pediatric Staging System	Stage/Prognostic Factors
980 - 980	1	1140	Pediatric Staged By	Stage/Prognostic Factors
981 - 981	1	1150	Tumor Marker 1	Stage/Prognostic Factors
982 - 982	1	1160	Tumor Marker 2	Stage/Prognostic Factors
983 - 983	1	1170	Tumor Marker 3	Stage/Prognostic Factors
984 - 984	1	1182	Lymph-vascular Invasion	Stage/Prognostic Factors
985 - 987	3	2800	CS Tumor Size	Stage/Prognostic Factors
988 - 990	3	2810	CS Extension	Stage/Prognostic Factors
991 - 991	1	2820	CS Tumor Size/Ext Eval	Stage/Prognostic Factors
992 - 994	3	2830	CS Lymph Nodes	Stage/Prognostic Factors
995 - 995	1	2840	CS Lymph Nodes Eval	Stage/Prognostic Factors
996 - 997	2	2850	CS Mets at DX	Stage/Prognostic Factors
998 - 998	1	2860	CS Mets Eval	Stage/Prognostic Factors
999 - 999	1	2851	CS Mets at Dx-Bone	Stage/Prognostic Factors
1000 - 1000	1	2852	CS Mets at Dx-Brain	Stage/Prognostic Factors
1001 - 1001	1	2853	CS Mets at Dx-Liver	Stage/Prognostic Factors
1002 - 1002	1	2854	CS Mets at Dx-Lung	Stage/Prognostic Factors
1003 - 1005	3	2880	CS Site-Specific Factor 1	Stage/Prognostic Factors
1006 - 1008	3	2890	CS Site-Specific Factor 2	Stage/Prognostic Factors
1009 - 1011	3	2900	CS Site-Specific Factor 3	Stage/Prognostic Factors
1012 - 1014	3	2910	CS Site-Specific Factor 4	Stage/Prognostic Factors
1015 - 1017	3	2920	CS Site-Specific Factor 5	Stage/Prognostic Factors
1018 - 1020	3	2930	CS Site-Specific Factor 6	Stage/Prognostic Factors
1021 - 1023	3	2861	CS Site-Specific Factor 7	Stage/Prognostic Factors
1024 - 1026	3	2862	CS Site-Specific Factor 8	Stage/Prognostic Factors
1027 - 1029	3	2863	CS Site-Specific Factor 9	Stage/Prognostic Factors
1030 - 1032	3	2864	CS Site-Specific Factor10	Stage/Prognostic Factors
1033 - 1035	3	2865	CS Site-Specific Factor11	Stage/Prognostic Factors
1036 - 1038	3	2866	CS Site-Specific Factor12	Stage/Prognostic Factors
1039 - 1041	3	2867	CS Site-Specific Factor13	Stage/Prognostic Factors
1042 - 1044	3	2868	CS Site-Specific Factor14	Stage/Prognostic Factors
1045 - 1047	3	2869	CS Site-Specific Factor15	Stage/Prognostic Factors
1048 - 1050	3	2870	CS Site-Specific Factor16	Stage/Prognostic Factors
1051 - 1053	3	2871	CS Site-Specific Factor17	Stage/Prognostic Factors
1054 - 1056	3	2872	CS Site-Specific Factor18	Stage/Prognostic Factors
1057 - 1059	3	2873	CS Site-Specific Factor19	Stage/Prognostic Factors
1060 - 1062	3	2874	CS Site-Specific Factor20	Stage/Prognostic Factors
1063 - 1065	3	2875	CS Site-Specific Factor21	Stage/Prognostic Factors
1066 - 1068	3	2876	CS Site-Specific Factor22	Stage/Prognostic Factors
1069 - 1071	3	2877	CS Site-Specific Factor23	Stage/Prognostic Factors
1072 - 1074	3	2878	CS Site-Specific Factor24	Stage/Prognostic Factors
1075 - 1077	3	2879	CS Site-Specific Factor25	Stage/Prognostic Factors
1078 - 1080	3	2730	CS PreRx Tumor Size	Stage/Prognostic Factors
1081 - 1083	3	2735	CS PreRx Extension	Stage/Prognostic Factors
1084 - 1084	1	2740	CS PreRx Tum Sz/Ext Eval	Stage/Prognostic Factors
1085 - 1087	3	2750	CS PreRx Lymph Nodes	Stage/Prognostic Factors
1088 - 1088	1	2755	CS PreRx Reg Nodes Eval	Stage/Prognostic Factors
1089 - 1090	2	2760	CS PreRx Mets at DX	Stage/Prognostic Factors
1091 - 1091	1	2765	CS PreRx Mets Eval	Stage/Prognostic Factors
1092 - 1094	3	2770	CS PostRx Tumor Size	Stage/Prognostic Factors
1095 - 1097	3	2775	CS PostRx Extension	Stage/Prognostic Factors
1098 - 1100	3	2780	CS PostRx Lymph Nodes	Stage/Prognostic Factors
1101 - 1102	2	2785	CS PostRx Mets at DX	Stage/Prognostic Factors
1103 - 1104	2	2940	Derived AJCC-6 T	Stage/Prognostic Factors
1105 - 1105	1	2950	Derived AJCC-6 T Descript	Stage/Prognostic Factors
1106 - 1107	2	2960	Derived AJCC-6 N	Stage/Prognostic Factors
1108 - 1108	1	2970	Derived AJCC-6 N Descript	Stage/Prognostic Factors
1109 - 1110	2	2980	Derived AJCC-6 M	Stage/Prognostic Factors
1111 - 1111	1	2990	Derived AJCC-6 M Descript	Stage/Prognostic Factors
1112 - 1113	2	3000	Derived AJCC-6 Stage Grp	Stage/Prognostic Factors
1114 - 1116	3	3400	Derived AJCC-7 T	Stage/Prognostic Factors
1117 - 1117	1	3402	Derived AJCC-7 T Descript	Stage/Prognostic Factors
1118 - 1120	3	3410	Derived AJCC-7 N	Stage/Prognostic Factors
1121 - 1121	1	3412	Derived AJCC-7 N Descript	Stage/Prognostic Factors
1122 - 1124	3	3420	Derived AJCC-7 M	Stage/Prognostic Factors
1125 - 1125	1	3422	Derived AJCC-7 M Descript	Stage/Prognostic Factors
1126 - 1128	3	3430	Derived AJCC-7 Stage Grp	Stage/Prognostic Factors
1129 - 1131	3	3440	Derived PreRx-7 T	Stage/Prognostic Factors
1132 - 1132	1	3442	Derived PreRx-7 T Descrip	Stage/Prognostic Factors
1133 - 1135	3	3450	Derived PreRx-7 N	Stage/Prognostic Factors
1136 - 1136	1	3452	Derived PreRx-7 N Descrip	Stage/Prognostic Factors
1137 - 1139	3	3460	Derived PreRx-7 M	Stage/Prognostic Factors
1140 - 1140	1	3462	Derived PreRx-7 M Descrip	Stage/Prognostic Factors
1141 - 1143	3	3470	Derived PreRx-7 Stage Grp	Stage/Prognostic Factors
1144 - 1146	3	3480	Derived PostRx-7 T	Stage/Prognostic Factors
1147 - 1149	3	3482	Derived PostRx-7 N	Stage/Prognostic Factors
1150 - 1151	2	3490	Derived PostRx-7 M	Stage/Prognostic Factors
1152 - 1154	3	3492	Derived PostRx-7 Stge Grp	Stage/Prognostic Factors
1155 - 1155	1	3010	Derived SS1977	Stage/Prognostic Factors
1156 - 1156	1	3020	Derived SS2000	Stage/Prognostic Factors
1157 - 1157	1	3600	Derived Neoadjuv Rx Flag	Stage/Prognostic Factors
1158 - 1158	1	3030	Derived AJCC--Flag	Stage/Prognostic Factors
1159 - 1159	1	3040	Derived SS1977--Flag	Stage/Prognostic Factors
1160 - 1160	1	3050	Derived SS2000--Flag	Stage/Prognostic Factors
1161 - 1166	6	2937	CS Version Input Current	Stage/Prognostic Factors
1167 - 1172	6	2935	CS Version Input Original	Stage/Prognostic Factors
1173 - 1178	6	2936	CS Version Derived	Stage/Prognostic Factors
1179 - 1179	1	3700	SEER Site-Specific Fact 1	Stage/Prognostic Factors
1180 - 1180	1	3702	SEER Site-Specific Fact 2	Stage/Prognostic Factors
1181 - 1181	1	3704	SEER Site-Specific Fact 3	Stage/Prognostic Factors
1182 - 1182	1	3706	SEER Site-Specific Fact 4	Stage/Prognostic Factors
1183 - 1183	1	3708	SEER Site-Specific Fact 5	Stage/Prognostic Factors
1184 - 1184	1	3710	SEER Site-Specific Fact 6	Stage/Prognostic Factors
1185 - 1185	1	3165	ICD Revision Comorbid	Stage/Prognostic Factors
1186 - 1190	5	3110	Comorbid/Complication 1	Stage/Prognostic Factors
1191 - 1195	5	3120	Comorbid/Complication 2	Stage/Prognostic Factors
1196 - 1200	5	3130	Comorbid/Complication 3	Stage/Prognostic Factors
1201 - 1205	5	3140	Comorbid/Complication 4	Stage/Prognostic Factors
1206 - 1210	5	3150	Comorbid/Complication 5	Stage/Prognostic Factors
1211 - 1215	5	3160	Comorbid/Complication 6	Stage/Prognostic Factors
1216 - 1220	5	3161	Comorbid/Complication 7	Stage/Prognostic Factors
1221 - 1225	5	3162	Comorbid/Complication 8	Stage/Prognostic Factors
1226 - 1230	5	3163	Comorbid/Complication 9	Stage/Prognostic Factors
1231 - 1235	5	3164	Comorbid/Complication 10	Stage/Prognostic Factors
1236 - 1242	7	3780	Secondary Diagnosis 1	Stage/Prognostic Factors
1243 - 1249	7	3782	Secondary Diagnosis 2	Stage/Prognostic Factors
1250 - 1256	7	3784	Secondary Diagnosis 3	Stage/Prognostic Factors
1257 - 1263	7	3786	Secondary Diagnosis 4	Stage/Prognostic Factors
1264 - 1270	7	3788	Secondary Diagnosis 5	Stage/Prognostic Factors
1271 - 1277	7	3790	Secondary Diagnosis 6	Stage/Prognostic Factors
1278 - 1284	7	3792	Secondary Diagnosis 7	Stage/Prognostic Factors
1285 - 1291	7	3794	Secondary Diagnosis 8	Stage/Prognostic Factors
1292 - 1298	7	3796	Secondary Diagnosis 9	Stage/Prognostic Factors
1299 - 1305	7	3798	Secondary Diagnosis 10	Stage/Prognostic Factors
1306 - 1380	75	3720	NPCR Specific Field	Stage/Prognostic Factors
1381 - 1435	55	1180	Reserved 05	Stage/Prognostic Factors
1436 - 1443	8	1260	Date Initial RX SEER	Treatment-1st Course
1444 - 1445	2	1261	Date Initial RX SEER Flag	Treatment-1st Course
1446 - 1453	8	1270	Date 1st Crs RX CoC	Treatment-1st Course
1454 - 1455	2	1271	Date 1st Crs RX CoC Flag	Treatment-1st Course
1456 - 1463	8	1200	RX Date Surgery	Treatment-1st Course
1464 - 1465	2	1201	RX Date Surgery Flag	Treatment-1st Course
1466 - 1473	8	3170	RX Date Mst Defn Srg	Treatment-1st Course
1474 - 1475	2	3171	RX Date Mst Defn Srg Flag	Treatment-1st Course
1476 - 1483	8	3180	RX Date Surg Disch	Treatment-1st Course
1484 - 1485	2	3181	RX Date Surg Disch Flag	Treatment-1st Course
1486 - 1493	8	1210	RX Date Radiation	Treatment-1st Course
1494 - 1495	2	1211	RX Date Radiation Flag	Treatment-1st Course
1496 - 1503	8	3220	RX Date Rad Ended	Treatment-1st Course
1504 - 1505	2	3221	RX Date Rad Ended Flag	Treatment-1st Course
1506 - 1513	8	3230	RX Date Systemic	Treatment-1st Course
1514 - 1515	2	3231	RX Date Systemic Flag	Treatment-1st Course
1516 - 1523	8	1220	RX Date Chemo	Treatment-1st Course
1524 - 1525	2	1221	RX Date Chemo Flag	Treatment-1st Course
1526 - 1533	8	1230	RX Date Hormone	Treatment-1st Course
1534 - 1535	2	1231	RX Date Hormone Flag	Treatment-1st Course
1536 - 1543	8	1240	RX Date BRM	Treatment-1st Course
1544 - 1545	2	1241	RX Date BRM Flag	Treatment-1st Course
1546 - 1553	8	1250	RX Date Other	Treatment-1st Course
1554 - 1555	2	1251	RX Date Other Flag	Treatment-1st Course
1556 - 1563	8	1280	RX Date DX/Stg Proc	Treatment-1st Course
1564 - 1565	2	1281	RX Date DX/Stg Proc Flag	Treatment-1st Course
1566 - 1566	1	1285	RX Summ--Treatment Status	Treatment-1st Course
1567 - 1568	2	1290	RX Summ--Surg Prim Site	Treatment-1st Course
1569 - 1569	1	1292	RX Summ--Scope Reg LN Sur	Treatment-1st Course
1570 - 1570	1	1294	RX Summ--Surg Oth Reg/Dis	Treatment-1st Course
1571 - 1572	2	1296	RX Summ--Reg LN Examined	Treatment-1st Course
1573 - 1573	1	1310	RX Summ--Surgical Approch	Treatment-1st Course
1574 - 1574	1	1320	RX Summ--Surgical Margins	Treatment-1st Course
1575 - 1575	1	1330	RX Summ--Reconstruct 1st	Treatment-1st Course
1576 - 1576	1	1340	Reason for No Surgery	Treatment-1st Course
1577 - 1578	2	1350	RX Summ--DX/Stg Proc	Treatment-1st Course
1579 - 1579	1	3270	RX Summ--Palliative Proc	Treatment-1st Course
1580 - 1580	1	1360	RX Summ--Radiation	Treatment-1st Course
1581 - 1581	1	1370	RX Summ--Rad to CNS	Treatment-1st Course
1582 - 1582	1	1380	RX Summ--Surg/Rad Seq	Treatment-1st Course
1583 - 1584	2	3250	RX Summ--Transplnt/Endocr	Treatment-1st Course
1585 - 1586	2	1390	RX Summ--Chemo	Treatment-1st Course
1587 - 1588	2	1400	RX Summ--Hormone	Treatment-1st Course
1589 - 1590	2	1410	RX Summ--BRM	Treatment-1st Course
1591 - 1591	1	1420	RX Summ--Other	Treatment-1st Course
1592 - 1592	1	1430	Reason for No Radiation	Treatment-1st Course
1593 - 1594	2	1460	RX Coding System--Current	Treatment-1st Course
1595 - 1595	1	2161	Reserved 18	Treatment-1st Course
1596 - 1600	5	1510	Rad--Regional Dose: cGy	Treatment-1st Course
1601 - 1603	3	1520	Rad--No of Treatment Vol	Treatment-1st Course
1604 - 1605	2	1540	Rad--Treatment Volume	Treatment-1st Course
1606 - 1606	1	1550	Rad--Location of RX	Treatment-1st Course
1607 - 1608	2	1570	Rad--Regional RX Modality	Treatment-1st Course
1609 - 1610	2	3200	Rad--Boost RX Modality	Treatment-1st Course
1611 - 1615	5	3210	Rad--Boost Dose cGy	Treatment-1st Course
1616 - 1616	1	1639	RX Summ--Systemic/Sur Seq	Treatment-1st Course
1617 - 1618	2	1640	RX Summ--Surgery Type	Treatment-1st Course
1619 - 1619	1	3190	Readm Same Hosp 30 Days	Treatment-1st Course
1620 - 1621	2	1646	RX Summ--Surg Site 98-02	Treatment-1st Course
1622 - 1622	1	1647	RX Summ--Scope Reg 98-02	Treatment-1st Course
1623 - 1623	1	1648	RX Summ--Surg Oth 98-02	Treatment-1st Course
1624 - 1723	100	1190	Reserved 06	Treatment-1st Course
1724 - 1731	8	1660	Subsq RX 2nd Course Date	Treatment-Subsequent & Other
1732 - 1733	2	1661	Subsq RX 2ndCrs Date Flag	Treatment-Subsequent & Other
1734 - 1735	2	1671	Subsq RX 2nd Course Surg	Treatment-Subsequent & Other
1734 - 1744	11	1670	Subsq RX 2nd Course Codes	Treatment-Subsequent & Other
1736 - 1736	1	1677	Subsq RX 2nd--Scope LN SU	Treatment-Subsequent & Other
1737 - 1737	1	1678	Subsq RX 2nd--Surg Oth	Treatment-Subsequent & Other
1738 - 1739	2	1679	Subsq RX 2nd--Reg LN Rem	Treatment-Subsequent & Other
1740 - 1740	1	1672	Subsq RX 2nd Course Rad	Treatment-Subsequent & Other
1741 - 1741	1	1673	Subsq RX 2nd Course Chemo	Treatment-Subsequent & Other
1742 - 1742	1	1674	Subsq RX 2nd Course Horm	Treatment-Subsequent & Other
1743 - 1743	1	1675	Subsq RX 2nd Course BRM	Treatment-Subsequent & Other
1744 - 1744	1	1676	Subsq RX 2nd Course Oth	Treatment-Subsequent & Other
1745 - 1752	8	1680	Subsq RX 3rd Course Date	Treatment-Subsequent & Other
1753 - 1754	2	1681	Subsq RX 3rdCrs Date Flag	Treatment-Subsequent & Other
1755 - 1756	2	1691	Subsq RX 3rd Course Surg	Treatment-Subsequent & Other
1755 - 1765	11	1690	Subsq RX 3rd Course Codes	Treatment-Subsequent & Other
1757 - 1757	1	1697	Subsq RX 3rd--Scope LN Su	Treatment-Subsequent & Other
1758 - 1758	1	1698	Subsq RX 3rd--Surg Oth	Treatment-Subsequent & Other
1759 - 1760	2	1699	Subsq RX 3rd--Reg LN Rem	Treatment-Subsequent & Other
1761 - 1761	1	1692	Subsq RX 3rd Course Rad	Treatment-Subsequent & Other
1762 - 1762	1	1693	Subsq RX 3rd Course Chemo	Treatment-Subsequent & Other
1763 - 1763	1	1694	Subsq RX 3rd Course Horm	Treatment-Subsequent & Other
1764 - 1764	1	1695	Subsq RX 3rd Course BRM	Treatment-Subsequent & Other
1765 - 1765	1	1696	Subsq RX 3rd Course Oth	Treatment-Subsequent & Other
1766 - 1773	8	1700	Subsq RX 4th Course Date	Treatment-Subsequent & Other
1774 - 1775	2	1701	Subsq RX 4thCrs Date Flag	Treatment-Subsequent & Other
1776 - 1777	2	1711	Subsq RX 4th Course Surg	Treatment-Subsequent & Other
1776 - 1786	11	1710	Subsq RX 4th Course Codes	Treatment-Subsequent & Other
1778 - 1778	1	1717	Subsq RX 4th--Scope LN Su	Treatment-Subsequent & Other
1779 - 1779	1	1718	Subsq RX 4th--Surg Oth	Treatment-Subsequent & Other
1780 - 1781	2	1719	Subsq RX 4th--Reg LN Rem	Treatment-Subsequent & Other
1782 - 1782	1	1712	Subsq RX 4th Course Rad	Treatment-Subsequent & Other
1783 - 1783	1	1713	Subsq RX 4th Course Chemo	Treatment-Subsequent & Other
1784 - 1784	1	1714	Subsq RX 4th Course Horm	Treatment-Subsequent & Other
1785 - 1785	1	1715	Subsq RX 4th Course BRM	Treatment-Subsequent & Other
1786 - 1786	1	1716	Subsq RX 4th Course Oth	Treatment-Subsequent & Other
1787 - 1787	1	1741	Subsq RX--Reconstruct Del	Treatment-Subsequent & Other
1788 - 1887	100	1300	Reserved 07	Treatment-Subsequent & Other
1888 - 1888	1	1981	Over-ride SS/NodesPos	Edit Overrides/Conversion History/System Admin
1889 - 1889	1	1982	Over-ride SS/TNM-N	Edit Overrides/Conversion History/System Admin
1890 - 1890	1	1983	Over-ride SS/TNM-M	Edit Overrides/Conversion History/System Admin
1891 - 1891	1	1985	Over-ride Acsn/Class/Seq	Edit Overrides/Conversion History/System Admin
1892 - 1892	1	1986	Over-ride HospSeq/DxConf	Edit Overrides/Conversion History/System Admin
1893 - 1893	1	1987	Over-ride CoC-Site/Type	Edit Overrides/Conversion History/System Admin
1894 - 1894	1	1988	Over-ride HospSeq/Site	Edit Overrides/Conversion History/System Admin
1895 - 1895	1	1989	Over-ride Site/TNM-StgGrp	Edit Overrides/Conversion History/System Admin
1896 - 1896	1	1990	Over-ride Age/Site/Morph	Edit Overrides/Conversion History/System Admin
1897 - 1897	1	2000	Over-ride SeqNo/DxConf	Edit Overrides/Conversion History/System Admin
1898 - 1898	1	2010	Over-ride Site/Lat/SeqNo	Edit Overrides/Conversion History/System Admin
1899 - 1899	1	2020	Over-ride Surg/DxConf	Edit Overrides/Conversion History/System Admin
1900 - 1900	1	2030	Over-ride Site/Type	Edit Overrides/Conversion History/System Admin
1901 - 1901	1	2040	Over-ride Histology	Edit Overrides/Conversion History/System Admin
1902 - 1902	1	2050	Over-ride Report Source	Edit Overrides/Conversion History/System Admin
1903 - 1903	1	2060	Over-ride Ill-define Site	Edit Overrides/Conversion History/System Admin
1904 - 1904	1	2070	"Over-ride Leuk, Lymphoma"	Edit Overrides/Conversion History/System Admin
1905 - 1905	1	2071	Over-ride Site/Behavior	Edit Overrides/Conversion History/System Admin
1906 - 1906	1	2072	Over-ride Site/EOD/DX Dt	Edit Overrides/Conversion History/System Admin
1907 - 1907	1	2073	Over-ride Site/Lat/EOD	Edit Overrides/Conversion History/System Admin
1908 - 1908	1	2074	Over-ride Site/Lat/Morph	Edit Overrides/Conversion History/System Admin
1909 - 1912	4	1960	Site (73-91) ICD-O-1	Edit Overrides/Conversion History/System Admin
1913 - 1918	6	1970	Morph (73-91) ICD-O-1	Edit Overrides/Conversion History/System Admin
1913 - 1916	4	1971	Histology (73-91) ICD-O-1	Edit Overrides/Conversion History/System Admin
1917 - 1917	1	1972	Behavior (73-91) ICD-O-1	Edit Overrides/Conversion History/System Admin
1918 - 1918	1	1973	Grade (73-91) ICD-O-1	Edit Overrides/Conversion History/System Admin
