Code,Type,Term,Select for,Changes starting with 2015 cases,,,,,
8051/3,Rpt exclude skin,Warty carcinoma,,,,,,,
8052/0,,"Squamous cell papilloma, NOS",,,,,,,
8052/0,,Squamous papilloma,,,,,,,
8052/0,,Keratotic papilloma,,,,,,,
8052/2,Rpt exclude skin,"Papillary squamous cell carcinoma,  non-invasive",,,,,,,
8052/2,Rpt exclude skin,Papillary squamous cell carcinoma in situ,,,,,,,
8052/3,Rpt exclude skin,Papillary squamous cell carcinoma,,,,,,,
8052/3,Rpt exclude skin,Papillary epidermoid carcinoma,,,,,,,
8053/0,,"Squamous cell papilloma, inverted",,,,,,,
8060/0,,Squamous papillomatosis,,,,,,,
8060/0,,"Papillomatosis, NOS",,,,,,,
8070/2,Rpt exclude skin,"Squamous cell carcinoma in situ, NOS",,,,,,,
8070/2,Rpt exclude skin,"Epidermoid carcinoma in situ, NOS",,,,,,,
8070/2,Rpt exclude skin,"Intraepidermal carcinoma, NOS",,,,,,,
8070/2,Rpt exclude skin,Intraepithelial squamous cell carcinoma,,,,,,,
8070/3,Rpt exclude skin,"Squamous cell carcinoma, NOS",,,,,,,
8070/3,Rpt exclude skin,"Epidermoid carcinoma, NOS",,,,,,,
8070/3,Rpt exclude skin,Squamous carcinoma,,,,,,,
8070/3,Rpt exclude skin,Squamous cell epithelioma,,,,,,,
8070/6,Rpt exclude skin,"Squamous cell carcinoma, metastatic, NOS",,,,,,,
8071/3,Rpt exclude skin,"Squamous cell carcinoma, keratinizing, NOS",,,,,,,
8071/3,Rpt exclude skin,"Squamous cell carcinoma, large cell, keratinizing",,,,,,,
8071/3,Rpt exclude skin,"Epidermoid carcinoma, keratinizing",,,,,,,
8072/3,Rpt exclude skin,"Squamous cell carcinoma, large cell, nonkeratinizing, NOS",,,,,,,
8072/3,Rpt exclude skin,"Squamous cell carcinoma, nonkeratinizing, NOS",,,,,,,
8072/3,Rpt exclude skin,"Epidermoid carcinoma, large cell, nonkeratinizing",,,,,,,
8073/3,Rpt exclude skin,"Squamous cell carcinoma, small cell, nonkeratinizing",,,,,,,
8073/3,Rpt exclude skin,"Epidermoid carcinoma, small cell, nonkeratinizing",,,,,,,
8074/3,Rpt exclude skin,"Squamous cell carcinoma, spindle cell",,,,,,,
8074/3,Rpt exclude skin,"Epidermoid carcinoma, spindle cell",,,,,,,
8074/3,Rpt exclude skin,"Squamous cell carcinoma, sarcomatoid",,,,,,,
8075/3,Rpt exclude skin,"Squamous cell carcinoma, adenoid",,,,,,,
8075/3,Rpt exclude skin,"Squamous cell carcinoma, pseudoglandular",,,,,,,
8075/3,Rpt exclude skin,"Squamous cell carcinoma, acantholytic",,,,,,,
8076/2,Rpt exclude skin,Squamous cell carcinoma in situ with questionable stromal invasion,,,,,,,
8076/2,Rpt exclude skin,Epidermoid carcinoma in situ with questionable stromal invasion,,,,,,,
8076/3,Rpt exclude skin,"Squamous cell carcinoma, microinvasive",,,,,,,
8077/0,,"Squamous intraepithelial neoplasia, low grade",,,,,,,
8077/0,,"Squamous intraepithelial neoplasia, grade I",,,,,,,
8077/0,,"Squamous intraepithelial neoplasia, grade II",,,,,,,
8077/0,,"Anal intraepithelial neoplasia, low grade (C21.1)",,,,,,,
8077/0,,"Cervical intraepithelial neoplasia, low grade (C53._)",,,,,,,
8077/0,,"Esophageal squamous intraepithelial neoplasia (dysplasia), high grade (C15._)",,,,,,,
8077/2,Rpt exclude skin and cervix,"Squamous intraepithelial neoplasia, high grade",,,,,,,
8077/2,Rpt exclude skin and cervix,"Squamous intraepithelial neoplasia, grade III",,,,,,,
8077/2,Rpt exclude skin and cervix,"Esophageal squamous intraepithelial neoplasia (dysplasia), low grade (C15._)",,,,,,,
8077/2,Rpt exclude skin and cervix,"Cervical intraepithelial neoplasia, grade III",,,,,,,
8077/2,Rpt exclude skin and cervix,"CIN III, NOS",,,,,,,
8077/2,Rpt exclude skin and cervix,CIN III with severe dysplasia,,,,,,,
8077/2,Rpt exclude skin,"Vaginal intraepithelial neoplasia, grade III",,,,,,,
8077/2,Rpt exclude skin,VAIN III,,,,,,,
8077/2,Rpt exclude skin,"Vulvar intraepithelial neoplasia, grade III",,,,,,,
8077/2,Rpt exclude skin,VIN III,,,,,,,
8077/2,Rpt exclude skin,"Anal intraepithelial neoplasia, grade III",,,,,,,
8077/2,Rpt exclude skin,AIN III,,,,,,,
8078/3,Rpt exclude skin,Squamous cell carcinoma with horn formation,,,,,,,
8080/2,Rpt exclude skin,Queyrat erythroplasia,,,,,,,
8081/2,Rpt exclude skin,Bowen disease,,,,,,,
8081/2,Rpt exclude skin,"Intraepidermal squamous cell carcinoma, Bowen type",,,,,,,
8082/3,Rpt exclude skin,Lymphoepithelial carcinoma,,,,,,,
8082/3,Rpt exclude skin,Lymphoepithelioma,,,,,,,
8082/3,Rpt exclude skin,Lymphoepithelioma-like carcinoma,,,,,,,
8082/3,Rpt exclude skin,Schmincke tumor,,,,,,,
8083/3,Rpt exclude skin,Basaloid squamous cell carcinoma,,,,,,,
8084/3,Rpt exclude skin,"Squamous cell carcinoma, clear cell type",,,,,,,
8090/1,Rpt exclude skin,Basal cell tumor,,,,,,,
8090/3,Rpt exclude skin,"Basal cell carcinoma, NOS",,,,,,,
8090/3,Rpt exclude skin,Basal cell epithelioma,,,,,,,
8090/3,Rpt exclude skin,Rodent ulcer,,,,,,,
8090/3,Rpt exclude skin,Pigmented basal cell carcinoma,,,,,,,
8091/3,Rpt exclude skin,Multifocal superficial basal cell carcinoma,,,,,,,
8091/3,Rpt exclude skin,Multicentric basal cell carcinoma,,,,,,,
8092/3,Rpt exclude skin,"Infiltrating basal cell carcinoma, NOS",,,,,,,
8092/3,Rpt exclude skin,"Infiltrating basal cell carcinoma, non-sclerosing",,,,,,,
8092/3,Rpt exclude skin,"Infiltrating basal cell carcinoma, sclerosing",,,,,,,
8092/3,Rpt exclude skin,"Basal cell carcinoma, morpheic",,,,,,,
8092/3,Rpt exclude skin,"Basal cell carcinoma, desmoplastic type",,,,,,,
8093/3,Rpt exclude skin,"Basal cell carcinoma, fibroepithelial",,,,,,,
8093/3,Rpt exclude skin,Fibroepithelioma of Pinkus type,,,,,,,
8093/3,Rpt exclude skin,"Fibroepithelial basal cell carcinoma, Pinkus type",,,,,,,
8093/3,Rpt exclude skin,Pinkus tumor,,,,,,,
8093/3,Rpt exclude skin,"Fibroepithelioma, NOS",,,,,,,
8094/3,Rpt exclude skin,Basosquamous carcinoma,,,,,,,
8094/3,Rpt exclude skin,Mixed basal-squamous cell carcinoma,,,,,,,
8095/3,Rpt exclude skin,Metatypical carcinoma,,,,,,,
8096/0,,Intraepidermal epithelioma of Jadassohn,,,,,,,
8097/3,Rpt exclude skin,"Basal cell carcinoma, nodular",,,,,,,
8097/3,Rpt exclude skin,"Basal cell carcinoma, micronodular",,,,,,,
8098/3,Rpt exclude skin,Adenoid basal carcinoma,,,,,,,
8100/0,,Trichoepithelioma,,,,,,,
8100/0,,Brooke tumor,,,,,,,
8100/0,,Epithelioma adenoides cysticum,,,,,,,
8101/0,,Trichofolliculoma,,,,,,,
8102/0,,Trichilemmoma,,,,,,,
8102/3,Rpt exclude skin,Trichilemmocarcinoma,,,,,,,
8102/3,Rpt exclude skin,Trichilemmal carcinoma,,,,,,,
8103/0,,Pilar tumor,,,,,,,
8103/0,,Proliferating trichilemmal cyst,,,,,,,
8103/0,,Proliferating trichilemmal tumor,,,,,,,
8110/0,,"Pilomatrixoma, NOS",,,,,,,
8110/0,,Calcifying epithelioma of Malherbe,,,,,,,
8110/0,Rpt exclude skin,"Pilomatricoma, NOS",,,,,,,
8110/3,Rpt exclude skin,Pilomatrix carcinoma,,,,,,,
8110/3,Rpt exclude skin,"Pilomatrixoma, malignant",,,,,,,
8110/3,Rpt exclude skin,"Pilomatricoma, malignant",,,,,,,
8110/3,Rpt exclude skin,Matrical carcinoma,,,,,,,
8120/0,,"Transitional cell papilloma, benign",,,,,,,
8120/0,,Transitional papilloma,,,,,,,
8120/1,,"Urothelial papilloma, NOS",,,,,,,
8120/1,,Papilloma of bladder,,,,,,,
8120/1,,"Transitional cell papilloma, NOS",,,,,,,
8120/2,Rpt,Transitional cell carcinoma in situ,,,,,,,
8120/2,Rpt,Urothelial carcinoma in situ,,,,,,,
8120/3,Rpt,"Transitional cell carcinoma, NOS",,,,,,,
8120/3,Rpt,"Urothelial carcinoma, NOS",,,,,,,
8120/3,Rpt,Transitional carcinoma,,,,,,,
8121/0,,"Schneiderian papilloma, NOS",,,,,,,
8121/0,,"Sinonasal papilloma, NOS",,,,,,,
8121/0,,"Sinonasal papilloma, exophytic",,,,,,,
8121/0,,"Sinonasal papilloma, fungiform",,,,,,,
8121/0,,"Transitional cell papilloma, inverted, benign",,,,,,,
8121/0,,"Transitional papilloma, inverted, benign",,,,,,,
8121/1,,"Transitional cell papilloma, inverted, NOS",,,,,,,
8121/1,,"Transitional papilloma, inverted, NOS",,,,,,,
8121/1,,"Schneiderian papilloma, inverted",,,,,,,
8121/1,,Columnar cell papilloma,,,,,,,
8121/1,,Cylindrical cell papilloma,,,,,,,
8121/1,,Oncocytic Schneiderian papilloma,,,,,,,
8121/3,Rpt,Schneiderian carcinoma,,,,,,,
8121/3,Rpt,Cylindrical cell carcinoma,,,,,,,
8122/3,Rpt,"Transitional cell carcinoma, spindle cell",,,,,,,
8122/3,Rpt,"Transitional cell carcinoma, sarcomatoid",,,,,,,
8123/3,Rpt,Basaloid carcinoma,,,,,,,
8124/3,Rpt,Cloacogenic carcinoma,,,,,,,
8130/1,,Papillary transitional cell neoplasm of low malignant potential,,,,,,,
8130/1,,Papillary urothelial neoplasm of low malignant potential,,,,,,,
8130/2,Rpt,"Papillary transitional cell carcinoma,  non-invasive",,,,,,,
8130/2,Rpt,"Papillary urothelial carcinoma, non-invasive",,,,,,,
8130/3,Rpt,Papillary transitional cell carcinoma,,,,,,,
8130/3,Rpt,Papillary urothelial carcinoma,,,,,,,
8131/3,Rpt,"Transitional cell carcinoma, micropapillary",,,,,,,
8140/0,Rpt select for,"Adenoma, NOS","Brain, CNS, and Pituitary",,,,,,
8140/1,Rpt select for,Atypical adenoma,"Brain, CNS, and Pituitary",,,,,,
8140/1,,"Bronchial adenoma, NOS",,,,,,,
8140/2,Rpt,"Adenocarcinoma in situ, NOS",,,,,,,
8140/3,Rpt,"Adenocarcinoma, NOS",,,,,,,
8140/6,Rpt,"Adenocarcinoma, metastatic, NOS",,,,,,,
8141/3,Rpt,Scirrhous adenocarcinoma,,,,,,,
8141/3,Rpt,Scirrhous carcinoma,,,,,,,
8141/3,Rpt,Carcinoma with productive fibrosis,,,,,,,
8142/3,Rpt,Linitis plastica,,,,,,,
8143/3,Rpt,Superficial spreading adenocarcinoma,,,,,,,
8144/3,Rpt,"Adenocarcinoma, intestinal type",,,,,,,
8144/3,Rpt,"Carcinoma, intestinal type",,,,,,,
8145/3,Rpt,"Carcinoma, diffuse type",,,,,,,
8145/3,Rpt,"Adenocarcinoma, diffuse type",,,,,,,
8146/0,,Monomorphic adenoma,,,,,,,
8147/0,,Basal cell adenoma,,,,,,,
8147/3,Rpt,Basal cell adenocarcinoma,,,,,,,
8148/0,,"Glandular intraepithelial neoplasia, low grade",,,,,,,
8148/0,,"Glandular intraepithelial neoplasia, grade I",,,,,,,
8148/0,,"Glandular intraepithelial neoplasia, grade II",,,,,,,
8148/0,,"Biliary intraepithelial neoplasia, low grade",,,,,,,
8148/0,,"Esophageal glandular dysplasia (intraepithelial neoplasia), low grade (C16._)",,,,,,,
8148/2,Rpt,"Glandular intraepithelial neoplasia, high grade",,,,,,,
8148/2,Rpt,"Glandular intraepithelial neoplasia, grade III",,,,,,,
8148/2,Rpt,"Flat intraepithelial neoplasia, high grade",,,,,,,
8148/2,Rpt,"Flat intraepithelial glandular neoplasia, high grade (C24.1)",,,,,,,
8148/2,Rpt,"Flat intraepithelial neoplasia (dysplasia), high grade (C24.1)",,,,,,,
8148/2,Rpt,"Biliary intraepithelial neoplasia, high grade",,,,,,,
8148/2,Rpt,"Biliary intraepithelial neoplasia, grade 3 (BilIN-3)",,,,,,,
8148/2,Rpt,"Esophageal glandular dysplasia (intraepithelial neoplasia), high grade (C16._)",,,,,,,
8148/2,Rpt,"Esophageal intraepithelial neoplasia, high grade (C16._)",,,,,,,
8148/2,Rpt,"Prostatic intraepithelial neoplasia, grade III",,,,,,,
8148/2,Rpt,PIN III,,,,,,,
8149/0,,Canalicular adenoma,,,,,,,
8150/0,Rpt as /3 ,"Pancreatic endocrine tumor, benign (C25._) Use 8240 or 8249/3 if grade is mentioned",,,,,,,
8150/0,Rpt as /3,Islet cell adenoma (C25._)  Use 8240 or 8249 /3 if grade is mentioned,,,,,,,
8150/0,Rpt as /3,"Islet cell tumor, benign  Use 8240 or 8249/3 if grade is mentioned",,,,,,,
8150/0,,Pancreatic microadenoma (C25._),,,,,,,
8150/0,Rpt as /3,Nesidioblastoma,,,,,,,
8150/0,Rpt as /3 ,Islet cell adenomatosis,,,,,,,
8150/1,Rpt as /3,"Pancreatic endocrine tumor, NOS (C25._) Use 8240 or 8249/3 if grade is mentioned",,,,,,,
8150/1,Rpt as /3,"Islet cell tumor, NOS (C25._) Use 8240 or 8249/3 if grade is mentioned",,,,,,,
8150/3,Rpt,"Pancreatic endocrine tumor, malignant Use 8240 or 8249/3 if grade is mentioned",,,,,,,
8150/3,Rpt,Islet cell carcinoma (C25._),,,,,,,
8150/3,Rpt,Islet cell adenocarcinoma,,,,,,,
8150/3,Rpt,"Pancreatic endocrine tumor, nonfunctioning",,,,,,,
8151/0,Rpt as /3,"Insulinoma, NOS",,,,,,,
8151/0,,Beta cell adenoma,,,,,,,
8151/3,Rpt,"Insulinoma, malignant",,,,,,,
8151/3,Rpt,"Beta cell tumor, malignant",,,,,,,
8152/1,Rpt as /3,"Enteroglucagonoma, NOS",,,,,,,
8152/1,Rpt as /3,L-cell tumor,,,,,,,
8152/1,Rpt as /3,Glucagon-like peptide-producing tumor,,,,,,,
8152/1,Rpt as /3,Pancreatic peptide and pancreatic peptide-like peptide within terminal tyrosine amide producing tumor,,,,,,,
8152/1,Rpt as /3,PP/PYY producing tumor,,,,,,,
8152/1,Rpt as/3,"Glucagoma, NOS",,,,,,,
8152/1,Rpt as /3,"Alpha cell tumor, NOS",,,,,,,
8152/3,Rpt,"Enteroglucagonoma, malignant",,,,,,,
8152/3,Rpt,"Alpha cell tumor, malignant",,,,,,,
8152/3,Rpt,"Gastrinoma, malignant",,,,,,,
8153/1,Rpt/3,"Gastrinoma, NOS",,,,,,,
8153/1,Rpt/3,"G cell tumor, NOS",,,,,,,
8153/1,Rpt/3,Gastrin cell tumor,,,,,,,
8153/3,Rpt,"Gastrinoma, malignant",,,,,,,
8153/3,Rpt,"Gastrin cell tumor, malignant",,,,,,,
8153/3,Rpt,"G cell tumor, malignant",,,,,,,
8154/3,Rpt,"Mixed pancreatic endocrine and exocrine tumor, malignant (C25._)",,,,,,,
8154/3,Rpt,Mixed endocrine and exocrine adenocarcinoma (C25._),,,,,,,
8154/3,Rpt,Mixed islet cell and exocrine adenocarcinoma,,,,,,,
8154/3,Rpt,Mixed acinar-endocrine carcinoma,,,,,,,
8154/3,Rpt,Mixed ductal-endocrine carcinoma,,,,,,,
8154/3,Rpt,Mixed acinar-endocrine-ductal carcinoma,,,,,,,
8155/1,Rpt/3,"Vipoma, NOS",,,,,,,
8155/3,Rpt,"Vipoma, malignant",,,,,,,
8156/1,Rpt/3,"Somatostatinoma, NOS",,,,,,,
8156/1,Rpt/3,"Somatostatin cell tumor, NOS",,,,,,,
8156/3,Rpt,"Somatostatinoma, malignant",,,,,,,
8156/3,Rpt,"Somatostatin cell tumor, malignant",,,,,,,
8158/1,Rpt as /3,"Endocrine tumor, functioning, NOS  Not reportable in 2015",,X,,,,,
8158/1,,ACTH-producing tumor  Not reportable in 2015,,X,,,,,
8160/1,,Bile duct adenoma,,,,,,,
8160/3,Rpt,Cholangioma,,,,,,,
8160/3,Rpt,Cholangiocarcinoma,,,,,,,
8160/3,Rpt,Bile duct carcinoma,,,,,,,
8160/3,Rpt,Bile duct adenocarcinoma,,,,,,,
8161/0,,Bile duct cystadenoma,,,,,,,
8161/3,Rpt,Bile duct cystadenocarcinoma,,,,,,,
8162/3,Rpt,Klatskin tumor,,,,,,,
8163/0,,"Pancreatobiliary neoplasm, non-invasive",,,,,,,
8163/0,,Noninvasive pancreatobiliary papillary neoplasm with low grade dysplasia,,,,,,,
8163/0,,Noninvasive pancreatobiliary papillary neoplasm with low grade intraepithelial neoplasia,,,,,,,
8163/2,Rpt,"Papillary neoplasm, pancreatobiliary-type, with high grade intraepithelial neoplasia (C24.1)",,,,,,,
8163/2,Rpt,Noninvasive pancreatobiliary papillary neoplasm with high grade dysplasia (C24.1),,,,,,,
8163/2,Rpt,Noninvasive pancreatobiliary papillary neoplasm with high grade intraepithelial neoplasia (C24.1),,,,,,,
8163/3,Rpt,Pancreatobiliary-type carcinoma (C24.1)  Use code 8255/3 in 2015,,X,,,,,
8163/3,Rpt,"Adenocarcinoma, pancreatobiliary type (C24.1)   Use code 8255/3 in 2015",,X,,,,,
8163/3,Rpt,"Hepatocellular carcinoma, NOS",,,,,,,
8170/0,,Liver cell adenoma,,,,,,,
8170/0,,Hepatocellular adenoma,,,,,,,
8170/0,,"Hepatoma, benign",,,,,,,
8170/3,Rpt,"Hepatocellular carcinoma, NOS",,,,,,,
8170/3,Rpt,Liver cell carcinoma,,,,,,,
8170/3,Rpt,Hepatocarcinoma,,,,,,,
8170/3,Rpt,"Hepatoma, malignant",,,,,,,
8170/3,Rpt,"Hepatoma, NOS",,,,,,,
8171/3,Rpt,"Hepatocellular carcinoma, fibrolamellar",,,,,,,
8172/3,Rpt,"Hepatocellular carcinoma, scirrhous",,,,,,,
8172/3,Rpt,Sclerosing hepatic carcinoma,,,,,,,
8173/3,Rpt,"Hepatocellular carcinoma, spindle cell variant",,,,,,,
8173/3,Rpt,"Hepatocellular carcinoma, sarcomatoid",,,,,,,
8174/3,Rpt,"Hepatocellular carcinoma, clear cell type",,,,,,,
8175/3,Rpt,"Hepatocellular carcinoma, pleomorphic type",,,,,,,
8180/3,Rpt,Combined hepatocellular carcinoma and cholangiocarcinoma,,,,,,,
8180/3,Rpt,Mixed hepatocellular and bile duct carcinoma,,,,,,,
8180/3,Rpt,Hepatocholangiocarcinoma,,,,,,,
8190/0,,Trabecular adenoma,,,,,,,
8190/3,Rpt,Trabecular adenocarcinoma,,,,,,,
8190/3,Rpt,Trabecular carcinoma,,,,,,,
8191/0,,Embryonal adenoma,,,,,,,
8200/0,,Eccrine dermal cylindroma,,,,,,,
8200/0,,Turban tumor,,,,,,,
8200/0,,Cylindroma of skin,,,,,,,
8200/3,Rpt,Adenoid cystic carcinoma,,,,,,,
8200/3,Rpt,Adenocystic carcinoma,,,,,,,
8200/3,Rpt,"Cylindroma, NOS",,,,,,,
8200/3,Rpt,"Adenocarcinoma, cylindroid",,,,,,,
8200/3,Rpt,"Bronchial adenoma, cylindroid",,,,,,,
8201/2,Rpt,Cribriform carcinoma in situ,,,,,,,
8201/2,Rpt,"Ductal carcinoma in situ, cribriform type",,,,,,,
8201/3,Rpt,"Cribriform comedo-type carcinoma (C18._, C19.9, C20.9)",,,,,,,
8201/3,Rpt,"Adenocarcinoma, cribriform comedo-type (C18._, C19.9, C20.9)",,,,,,,
8201/3,Rpt,"Cribriform carcinoma, NOS",,,,,,,
8201/3,Rpt,"Ductal carcinoma, cribriform type",,,,,,,
8202/0,,Microcystic adenoma,,,,,,,
8204/0,,Lactating adenoma,,,,,,,
8210/0,,"Adenomatous polyp, NOS",,,,,,,
8210/0,,Polypoid adenoma,,,,,,,
8210/2,Rpt,Adenocarcinoma in situ in adenomatous polyp,,,,,,,
8210/2,Rpt,Adenocarcinoma in situ in tubular adenoma,,,,,,,
8210/0,,Carcinoma in situ in adenomatous polyp,,,,,,,
8210/2,Rpt,Adenocarcinoma in situ in polypoid adenoma,,,,,,,
8210/2,Rpt,"Adenocarcinoma in situ in a polyp, NOS",,,,,,,
8210/2,Rpt,"Carcinoma in situ in a polyp, NOS",,,,,,,
8210/3,Rpt,Adenocarcinoma in adenomatous polyp,,,,,,,
8210/3,Rpt,Adenocarcinoma in tubular adenoma,,,,,,,
8210/3,Rpt,Carcinoma in adenomatous polyp,,,,,,,
8210/3,Rpt,Adenocarcinoma in polypoid adenoma,,,,,,,
8210/3,Rpt,"Adenocarcinoma in a polyp, NOS",,,,,,,
8210/3,Rpt,"Carcinoma in a polyp, NOS",,,,,,,
8211/0,,"Tubular adenoma, NOS",,,,,,,
8211/3,Rpt,Tubular adenocarcinoma,,,,,,,
8211/3,Rpt,Tubular carcinoma,,,,,,,
8212/0,,Flat adenoma,,,,,,,
8213/0,,Serrated adenoma,,,,,,,
8213/0,,Traditional serrated adenoma,,,,,,,
8213/0,,Sessile serrated adenoma,,,,,,,
8213/0,,Sessile serrated polyp,,,,,,,
8213/0,,Traditional sessile serrated adenoma,,,,,,,
8213/0,,Mixed adenomatous and hyperplastic polyp,,,,,,,
8213/3,Rpt,Serrated adenocarcinoma,,,,,,,
8214/3,Rpt,Parietal cell carcinoma,,,,,,,
8214/3,Rpt,Parietal cell adenocarcinoma,,,,,,,
8215/3,Rpt,Adenocarcinoma of anal glands,,,,,,,
8215/3,Rpt,Adenocarcinoma of anal ducts,,,,,,,
8220/0,,Adenomatous polyposis coli,,,,,,,
8220/0,,Familial polyposis coli,,,,,,,
8220/0,,"Adenomatosis, NOS",,,,,,,
8220/3,Rpt,Adenocarcinoma in adenomatous polyposis coli,,,,,,,
8221/0,,Multiple adenomatous polyps,,,,,,,
8221/3,Rpt,Adenocarcinoma in multiple adenomatous polyps,,,,,,,
8230/2,Rpt,"Ductal carcinoma in situ, solid type",,,,,,,
8230/2,Rpt,"Intraductal carcinoma, solid type",,,,,,,
8230/3,Rpt,"Solid carcinoma, NOS",,,,,,,
8230/3,Rpt,Solid carcinoma with mucin formation,,,,,,,
