diagnosis_name,icdo3_code,synonym_name
"verrucous carcinoma, nos",8051/3,verrucous squamous cell carcinoma
"verrucous carcinoma, nos",8051/3,verrucous epidermoid carcinoma
"verrucous carcinoma, nos",8051/3,warty carcinoma
"verrucous carcinoma, nos",8051/3,verrucous carcinoma
"squamous cell papilloma, nos",8052/0,squamous papilloma
"squamous cell papilloma, nos",8052/0,keratotic papilloma
"squamous cell papilloma, nos",8052/0,squamous cell papilloma
"papillary squamous cell carcinoma,  non-invasive",8052/2,papillary squamous cell carcinoma in situ
"papillary squamous cell carcinoma,  non-invasive",8052/2,non-invasive papillary squamous cell carcinoma
"papillary squamous cell carcinoma,  non-invasive",8052/2,papillary squamous cell carcinoma non-invasive
papillary squamous cell carcinoma,8052/3,papillary epidermoid carcinoma
"squamous cell papilloma, inverted",8053/0,inverted squamous cell papilloma
"squamous cell papilloma, inverted",8053/0,squamous cell papilloma inverted
squamous papillomatosis,8060/0,"papillomatosis, nos"
squamous papillomatosis,8060/0,papillomatosis
"squamous cell carcinoma in situ, nos",8070/2,"epidermoid carcinoma in situ, nos"
"squamous cell carcinoma in situ, nos",8070/2,"intraepidermal carcinoma, nos"
"squamous cell carcinoma in situ, nos",8070/2,intraepithelial squamous cell carcinoma
"squamous cell carcinoma in situ, nos",8070/2,squamous cell carcinoma in situ
"squamous cell carcinoma in situ, nos",8070/2,epidermoid carcinoma in situ
"squamous cell carcinoma in situ, nos",8070/2,intraepidermal carcinoma
"squamous cell carcinoma, nos",8070/3,"epidermoid carcinoma, nos"
"squamous cell carcinoma, nos",8070/3,squamous carcinoma
"squamous cell carcinoma, nos",8070/3,squamous cell epithelioma
"squamous cell carcinoma, nos",8070/3,squamous cell carcinoma
"squamous cell carcinoma, nos",8070/3,epidermoid carcinoma
"squamous cell carcinoma, metastatic, nos",8070/6,metastatic squamous cell carcinoma
"squamous cell carcinoma, metastatic, nos",8070/6,squamous cell carcinoma metastatic
"squamous cell carcinoma, keratinizing, nos",8071/3,"squamous cell carcinoma, large cell, keratinizing"
"squamous cell carcinoma, keratinizing, nos",8071/3,"epidermoid carcinoma, keratinizing"
"squamous cell carcinoma, keratinizing, nos",8071/3,keratinizing squamous cell carcinoma
"squamous cell carcinoma, keratinizing, nos",8071/3,squamous cell carcinoma keratinizing
"squamous cell carcinoma, keratinizing, nos",8071/3,keratinizing large cell squamous cell carcinoma
"squamous cell carcinoma, keratinizing, nos",8071/3,squamous cell carcinoma large cell keratinizing
"squamous cell carcinoma, keratinizing, nos",8071/3,keratinizing epidermoid carcinoma
"squamous cell carcinoma, keratinizing, nos",8071/3,epidermoid carcinoma keratinizing
"squamous cell carcinoma, large cell, nonkeratinizing, nos",8072/3,"squamous cell carcinoma, nonkeratinizing, nos"
"squamous cell carcinoma, large cell, nonkeratinizing, nos",8072/3,"epidermoid carcinoma, large cell, nonkeratinizing"
"squamous cell carcinoma, large cell, nonkeratinizing, nos",8072/3,nonkeratinizing large cell squamous cell carcinoma
"squamous cell carcinoma, large cell, nonkeratinizing, nos",8072/3,squamous cell carcinoma large cell nonkeratinizing
"squamous cell carcinoma, large cell, nonkeratinizing, nos",8072/3,nonkeratinizing squamous cell carcinoma
"squamous cell carcinoma, large cell, nonkeratinizing, nos",8072/3,squamous cell carcinoma nonkeratinizing
"squamous cell carcinoma, large cell, nonkeratinizing, nos",8072/3,nonkeratinizing large cell epidermoid carcinoma
"squamous cell carcinoma, large cell, nonkeratinizing, nos",8072/3,epidermoid carcinoma large cell nonkeratinizing
"squamous cell carcinoma, small cell, nonkeratinizing",8073/3,"epidermoid carcinoma, small cell, nonkeratinizing"
"squamous cell carcinoma, small cell, nonkeratinizing",8073/3,nonkeratinizing small cell squamous cell carcinoma
"squamous cell carcinoma, small cell, nonkeratinizing",8073/3,squamous cell carcinoma small cell nonkeratinizing
"squamous cell carcinoma, small cell, nonkeratinizing",8073/3,nonkeratinizing small cell epidermoid carcinoma
"squamous cell carcinoma, small cell, nonkeratinizing",8073/3,epidermoid carcinoma small cell nonkeratinizing
"squamous cell carcinoma, spindle cell",8074/3,"epidermoid carcinoma, spindle cell"
"squamous cell carcinoma, spindle cell",8074/3,"squamous cell carcinoma, sarcomatoid"
"squamous cell carcinoma, spindle cell",8074/3,spindle cell squamous cell carcinoma
"squamous cell carcinoma, spindle cell",8074/3,squamous cell carcinoma spindle cell
"squamous cell carcinoma, spindle cell",8074/3,spindle cell epidermoid carcinoma
"squamous cell carcinoma, spindle cell",8074/3,epidermoid carcinoma spindle cell
"squamous cell carcinoma, spindle cell",8074/3,sarcomatoid squamous cell carcinoma
"squamous cell carcinoma, spindle cell",8074/3,squamous cell carcinoma sarcomatoid
"squamous cell carcinoma, adenoid",8075/3,"squamous cell carcinoma, pseudoglandular"
"squamous cell carcinoma, adenoid",8075/3,"squamous cell carcinoma, acantholytic"
"squamous cell carcinoma, adenoid",8075/3,adenoid squamous cell carcinoma
"squamous cell carcinoma, adenoid",8075/3,squamous cell carcinoma adenoid
"squamous cell carcinoma, adenoid",8075/3,pseudoglandular squamous cell carcinoma
"squamous cell carcinoma, adenoid",8075/3,squamous cell carcinoma pseudoglandular
"squamous cell carcinoma, adenoid",8075/3,acantholytic squamous cell carcinoma
"squamous cell carcinoma, adenoid",8075/3,squamous cell carcinoma acantholytic
squamous cell carcinoma in situ with questionable stromal invasion,8076/2,epidermoid carcinoma in situ with questionable stromal invasion
"squamous cell carcinoma, microinvasive",8076/3,microinvasive squamous cell carcinoma
"squamous cell carcinoma, microinvasive",8076/3,squamous cell carcinoma microinvasive
"squamous intraepithelial neoplasia, grade iii",8077/2,"cervical intraepithelial neoplasia, grade iii"
"squamous intraepithelial neoplasia, grade iii",8077/2,"cin iii, nos"
"squamous intraepithelial neoplasia, grade iii",8077/2,cin iii with severe dysplasia
"squamous intraepithelial neoplasia, grade iii",8077/2,"vaginal intraepithelial neoplasia, grade iii"
"squamous intraepithelial neoplasia, grade iii",8077/2,vain iii
"squamous intraepithelial neoplasia, grade iii",8077/2,"vulvar intraepithelial neoplasia, grade iii"
"squamous intraepithelial neoplasia, grade iii",8077/2,vin iii
"squamous intraepithelial neoplasia, grade iii",8077/2,"anal intraepithelial neoplasia, grade iii"
"squamous intraepithelial neoplasia, grade iii",8077/2,ain iii
"squamous intraepithelial neoplasia, grade iii",8077/2,grade iii squamous intraepithelial neoplasia
"squamous intraepithelial neoplasia, grade iii",8077/2,squamous intraepithelial neoplasia grade iii
"squamous intraepithelial neoplasia, grade iii",8077/2,grade iii cervical intraepithelial neoplasia
"squamous intraepithelial neoplasia, grade iii",8077/2,cervical intraepithelial neoplasia grade iii
"squamous intraepithelial neoplasia, grade iii",8077/2,cin iii
"squamous intraepithelial neoplasia, grade iii",8077/2,grade iii vaginal intraepithelial neoplasia
"squamous intraepithelial neoplasia, grade iii",8077/2,vaginal intraepithelial neoplasia grade iii
"squamous intraepithelial neoplasia, grade iii",8077/2,grade iii vulvar intraepithelial neoplasia
"squamous intraepithelial neoplasia, grade iii",8077/2,vulvar intraepithelial neoplasia grade iii
"squamous intraepithelial neoplasia, grade iii",8077/2,grade iii anal intraepithelial neoplasia
"squamous intraepithelial neoplasia, grade iii",8077/2,anal intraepithelial neoplasia grade iii
bowen disease,8081/2,"intraepidermal squamous cell carcinoma, bowen type"
bowen disease,8081/2,bowen type intraepidermal squamous cell carcinoma
bowen disease,8081/2,intraepidermal squamous cell carcinoma bowen type
lymphoepithelial carcinoma,8082/3,lymphoepithelioma
lymphoepithelial carcinoma,8082/3,lymphoepithelioma-like carcinoma
lymphoepithelial carcinoma,8082/3,schmincke tumor
"squamous cell carcinoma, clear cell type",8084/3,clear cell type squamous cell carcinoma
"squamous cell carcinoma, clear cell type",8084/3,squamous cell carcinoma clear cell type
"basal cell carcinoma, nos",8090/3,basal cell epithelioma
"basal cell carcinoma, nos",8090/3,rodent ulcer
"basal cell carcinoma, nos",8090/3,pigmented basal cell carcinoma
"basal cell carcinoma, nos",8090/3,basal cell carcinoma
multifocal superficial basal cell carcinoma,8091/3,multicentric basal cell carcinoma
"infiltrating basal cell carcinoma, nos",8092/3,"infiltrating basal cell carcinoma, non-sclerosing"
"infiltrating basal cell carcinoma, nos",8092/3,"infiltrating basal cell carcinoma, sclerosing"
"infiltrating basal cell carcinoma, nos",8092/3,"basal cell carcinoma, morpheic"
"infiltrating basal cell carcinoma, nos",8092/3,"basal cell carcinoma, desmoplastic type"
"infiltrating basal cell carcinoma, nos",8092/3,infiltrating basal cell carcinoma
"infiltrating basal cell carcinoma, nos",8092/3,non-sclerosing infiltrating basal cell carcinoma
"infiltrating basal cell carcinoma, nos",8092/3,infiltrating basal cell carcinoma non-sclerosing
"infiltrating basal cell carcinoma, nos",8092/3,sclerosing infiltrating basal cell carcinoma
"infiltrating basal cell carcinoma, nos",8092/3,infiltrating basal cell carcinoma sclerosing
"infiltrating basal cell carcinoma, nos",8092/3,morpheic basal cell carcinoma
"infiltrating basal cell carcinoma, nos",8092/3,basal cell carcinoma morpheic
"infiltrating basal cell carcinoma, nos",8092/3,desmoplastic type basal cell carcinoma
"infiltrating basal cell carcinoma, nos",8092/3,basal cell carcinoma desmoplastic type
"basal cell carcinoma, fibroepithelial",8093/3,fibroepithelioma of pinkus type
"basal cell carcinoma, fibroepithelial",8093/3,"fibroepithelial basal cell carcinoma, pinkus type"
"basal cell carcinoma, fibroepithelial",8093/3,pinkus tumor
"basal cell carcinoma, fibroepithelial",8093/3,"fibroepithelioma, nos"
"basal cell carcinoma, fibroepithelial",8093/3,fibroepithelial basal cell carcinoma
"basal cell carcinoma, fibroepithelial",8093/3,basal cell carcinoma fibroepithelial
"basal cell carcinoma, fibroepithelial",8093/3,pinkus type fibroepithelial basal cell carcinoma
"basal cell carcinoma, fibroepithelial",8093/3,fibroepithelial basal cell carcinoma pinkus type
"basal cell carcinoma, fibroepithelial",8093/3,fibroepithelioma
basosquamous carcinoma,8094/3,mixed basal-squamous cell carcinoma
"basal cell carcinoma, nodular",8097/3,"basal cell carcinoma, micronodular"
"basal cell carcinoma, nodular",8097/3,nodular basal cell carcinoma
"basal cell carcinoma, nodular",8097/3,basal cell carcinoma nodular
"basal cell carcinoma, nodular",8097/3,micronodular basal cell carcinoma
"basal cell carcinoma, nodular",8097/3,basal cell carcinoma micronodular
trichoepithelioma,8100/0,brooke tumor
trichoepithelioma,8100/0,epithelioma adenoides cysticum
trichilemmocarcinoma,8102/3,trichilemmal carcinoma
pilar tumor,8103/0,proliferating trichilemmal cyst
pilar tumor,8103/0,proliferating trichilemmal tumor
"pilomatrixoma, nos",8110/0,calcifying epithelioma of malherbe
"pilomatrixoma, nos",8110/0,"pilomatricoma, nos"
"pilomatrixoma, nos",8110/0,pilomatrixoma
"pilomatrixoma, nos",8110/0,pilomatricoma
pilomatrix carcinoma,8110/3,"pilomatrixoma, malignant"
pilomatrix carcinoma,8110/3,"pilomatricoma, malignant"
pilomatrix carcinoma,8110/3,matrical carcinoma
pilomatrix carcinoma,8110/3,malignant pilomatrixoma
pilomatrix carcinoma,8110/3,pilomatrixoma malignant
pilomatrix carcinoma,8110/3,malignant pilomatricoma
pilomatrix carcinoma,8110/3,pilomatricoma malignant
"transitional cell papilloma, benign",8120/0,transitional papilloma
"transitional cell papilloma, benign",8120/0,benign transitional cell papilloma
"transitional cell papilloma, benign",8120/0,transitional cell papilloma benign
"urothelial papilloma, nos",8120/1,papilloma of bladder
"urothelial papilloma, nos",8120/1,"transitional cell papilloma, nos"
"urothelial papilloma, nos",8120/1,urothelial papilloma
"urothelial papilloma, nos",8120/1,transitional cell papilloma
transitional cell carcinoma in situ,8120/2,urothelial carcinoma in situ
"transitional cell carcinoma, nos",8120/3,"urothelial carcinoma, nos"
"transitional cell carcinoma, nos",8120/3,transitional carcinoma
"transitional cell carcinoma, nos",8120/3,transitional cell carcinoma
"transitional cell carcinoma, nos",8120/3,urothelial carcinoma
"schneiderian papilloma, nos",8121/0,"sinonasal papilloma, nos"
"schneiderian papilloma, nos",8121/0,"sinonasal papilloma, exophytic"
"schneiderian papilloma, nos",8121/0,"sinonasal papilloma, fungiform"
"schneiderian papilloma, nos",8121/0,"transitional cell papilloma, inverted, benign"
"schneiderian papilloma, nos",8121/0,"transitional papilloma, inverted, benign"
"schneiderian papilloma, nos",8121/0,schneiderian papilloma
"schneiderian papilloma, nos",8121/0,sinonasal papilloma
"schneiderian papilloma, nos",8121/0,exophytic sinonasal papilloma
"schneiderian papilloma, nos",8121/0,sinonasal papilloma exophytic
"schneiderian papilloma, nos",8121/0,fungiform sinonasal papilloma
"schneiderian papilloma, nos",8121/0,sinonasal papilloma fungiform
"schneiderian papilloma, nos",8121/0,benign inverted transitional cell papilloma
"schneiderian papilloma, nos",8121/0,transitional cell papilloma inverted benign
"schneiderian papilloma, nos",8121/0,benign inverted transitional papilloma
"schneiderian papilloma, nos",8121/0,transitional papilloma inverted benign
"transitional cell papilloma, inverted, nos",8121/1,"transitional papilloma, inverted, nos"
"transitional cell papilloma, inverted, nos",8121/1,"schneiderian papilloma, inverted"
"transitional cell papilloma, inverted, nos",8121/1,columnar cell papilloma
"transitional cell papilloma, inverted, nos",8121/1,cylindrical cell papilloma
"transitional cell papilloma, inverted, nos",8121/1,oncocytic schneiderian papilloma
"transitional cell papilloma, inverted, nos",8121/1,inverted transitional cell papilloma
"transitional cell papilloma, inverted, nos",8121/1,transitional cell papilloma inverted
"transitional cell papilloma, inverted, nos",8121/1,inverted transitional papilloma
"transitional cell papilloma, inverted, nos",8121/1,transitional papilloma inverted
"transitional cell papilloma, inverted, nos",8121/1,inverted schneiderian papilloma
"transitional cell papilloma, inverted, nos",8121/1,schneiderian papilloma inverted
schneiderian carcinoma,8121/3,cylindrical cell carcinoma
"transitional cell carcinoma, spindle cell",8122/3,"transitional cell carcinoma, sarcomatoid"
"transitional cell carcinoma, spindle cell",8122/3,spindle cell transitional cell carcinoma
"transitional cell carcinoma, spindle cell",8122/3,transitional cell carcinoma spindle cell
"transitional cell carcinoma, spindle cell",8122/3,sarcomatoid transitional cell carcinoma
"transitional cell carcinoma, spindle cell",8122/3,transitional cell carcinoma sarcomatoid
papillary transitional cell neoplasm of low malignant potential,8130/1,papillary urothelial neoplasm of low malignant potential
"papillary transitional cell carcinoma,  non-invasive",8130/2,"papillary urothelial carcinoma, non-invasive"
"papillary transitional cell carcinoma,  non-invasive",8130/2,non-invasive papillary transitional cell carcinoma
"papillary transitional cell carcinoma,  non-invasive",8130/2,papillary transitional cell carcinoma non-invasive
"papillary transitional cell carcinoma,  non-invasive",8130/2,non-invasive papillary urothelial carcinoma
"papillary transitional cell carcinoma,  non-invasive",8130/2,papillary urothelial carcinoma non-invasive
papillary transitional cell carcinoma,8130/3,papillary urothelial carcinoma
"transitional cell carcinoma, micropapillary",8131/3,micropapillary transitional cell carcinoma
"transitional cell carcinoma, micropapillary",8131/3,transitional cell carcinoma micropapillary
"adenoma, nos",8140/0,adenoma
atypical adenoma,8140/1,"bronchial adenoma, nos"
atypical adenoma,8140/1,bronchial adenoma
"adenocarcinoma in situ, nos",8140/2,adenocarcinoma in situ
"adenocarcinoma, nos",8140/3,adenocarcinoma
"adenocarcinoma, metastatic, nos",8140/6,metastatic adenocarcinoma
"adenocarcinoma, metastatic, nos",8140/6,adenocarcinoma metastatic
scirrhous adenocarcinoma,8141/3,scirrhous carcinoma
scirrhous adenocarcinoma,8141/3,carcinoma with productive fibrosis
"adenocarcinoma, intestinal type",8144/3,"carcinoma, intestinal type"
"adenocarcinoma, intestinal type",8144/3,intestinal type adenocarcinoma
"adenocarcinoma, intestinal type",8144/3,adenocarcinoma intestinal type
"adenocarcinoma, intestinal type",8144/3,intestinal type carcinoma
"adenocarcinoma, intestinal type",8144/3,carcinoma intestinal type
"carcinoma, diffuse type",8145/3,"adenocarcinoma, diffuse type"
"carcinoma, diffuse type",8145/3,diffuse type carcinoma
"carcinoma, diffuse type",8145/3,carcinoma diffuse type
"carcinoma, diffuse type",8145/3,diffuse type adenocarcinoma
"carcinoma, diffuse type",8145/3,adenocarcinoma diffuse type
"glandular intraepithelial neoplasia, grade iii",8148/2,"prostatic intraepithelial neoplasia, grade iii"
"glandular intraepithelial neoplasia, grade iii",8148/2,pin iii
"glandular intraepithelial neoplasia, grade iii",8148/2,grade iii glandular intraepithelial neoplasia
"glandular intraepithelial neoplasia, grade iii",8148/2,glandular intraepithelial neoplasia grade iii
"glandular intraepithelial neoplasia, grade iii",8148/2,grade iii prostatic intraepithelial neoplasia
"glandular intraepithelial neoplasia, grade iii",8148/2,prostatic intraepithelial neoplasia grade iii
islet cell adenoma,8150/0,"islet cell tumor, benign"
islet cell adenoma,8150/0,nesidioblastoma
islet cell adenoma,8150/0,islet cell adenomatosis
islet cell adenoma,8150/0,benign islet cell tumor
islet cell adenoma,8150/0,islet cell tumor benign
"islet cell tumor, nos",8150/1,islet cell tumor
islet cell carcinoma,8150/3,islet cell adenocarcinoma
"insulinoma, nos",8151/0,beta cell adenoma
"insulinoma, nos",8151/0,insulinoma
"insulinoma, malignant",8151/3,"beta cell tumor, malignant"
"insulinoma, malignant",8151/3,malignant insulinoma
"insulinoma, malignant",8151/3,insulinoma malignant
"insulinoma, malignant",8151/3,malignant beta cell tumor
"insulinoma, malignant",8151/3,beta cell tumor malignant
"glucagonoma, nos",8152/1,"alpha cell tumor, nos"
"glucagonoma, nos",8152/1,glucagonoma
"glucagonoma, nos",8152/1,alpha cell tumor
"glucagonoma, malignant",8152/3,"alpha cell tumor, malignant"
"glucagonoma, malignant",8152/3,malignant glucagonoma
"glucagonoma, malignant",8152/3,glucagonoma malignant
"glucagonoma, malignant",8152/3,malignant alpha cell tumor
"glucagonoma, malignant",8152/3,alpha cell tumor malignant
"gastrinoma, nos",8153/1,"g cell tumor, nos"
"gastrinoma, nos",8153/1,gastrin cell tumor
"gastrinoma, nos",8153/1,gastrinoma
"gastrinoma, nos",8153/1,g cell tumor
"gastrinoma, malignant",8153/3,"g cell tumor, malignant"
"gastrinoma, malignant",8153/3,"gastrin cell tumor, malignant"
"gastrinoma, malignant",8153/3,malignant gastrinoma
"gastrinoma, malignant",8153/3,gastrinoma malignant
"gastrinoma, malignant",8153/3,malignant g cell tumor
"gastrinoma, malignant",8153/3,g cell tumor malignant
"gastrinoma, malignant",8153/3,malignant gastrin cell tumor
"gastrinoma, malignant",8153/3,gastrin cell tumor malignant
mixed islet cell and exocrine adenocarcinoma,8154/3,mixed acinar-endocrine carcinoma
mixed islet cell and exocrine adenocarcinoma,8154/3,mixed ductal-endocrine carcinoma
"vipoma, nos",8155/1,vipoma
"vipoma, malignant",8155/3,malignant vipoma
"vipoma, malignant",8155/3,vipoma malignant
"somatostatinoma, nos",8156/1,"somatostatin cell tumor, nos"
"somatostatinoma, nos",8156/1,somatostatinoma
"somatostatinoma, nos",8156/1,somatostatin cell tumor
"somatostatinoma, malignant",8156/3,"somatostatin cell tumor, malignant"
"somatostatinoma, malignant",8156/3,malignant somatostatinoma
"somatostatinoma, malignant",8156/3,somatostatinoma malignant
"somatostatinoma, malignant",8156/3,malignant somatostatin cell tumor
"somatostatinoma, malignant",8156/3,somatostatin cell tumor malignant
"enteroglucagonoma, nos",8157/1,enteroglucagonoma
"enteroglucagonoma, malignant",8157/3,malignant enteroglucagonoma
"enteroglucagonoma, malignant",8157/3,enteroglucagonoma malignant
bile duct adenoma,8160/0,cholangioma
cholangiocarcinoma,8160/3,bile duct carcinoma
cholangiocarcinoma,8160/3,bile duct adenocarcinoma
liver cell adenoma,8170/0,hepatocellular adenoma
liver cell adenoma,8170/0,"hepatoma, benign"
liver cell adenoma,8170/0,benign hepatoma
liver cell adenoma,8170/0,hepatoma benign
"hepatocellular carcinoma, nos",8170/3,liver cell carcinoma
"hepatocellular carcinoma, nos",8170/3,hepatocarcinoma
"hepatocellular carcinoma, nos",8170/3,"hepatoma, malignant"
"hepatocellular carcinoma, nos",8170/3,"hepatoma, nos"
"hepatocellular carcinoma, nos",8170/3,hepatocellular carcinoma
"hepatocellular carcinoma, nos",8170/3,malignant hepatoma
"hepatocellular carcinoma, nos",8170/3,hepatoma malignant
"hepatocellular carcinoma, nos",8170/3,hepatoma
"hepatocellular carcinoma, fibrolamellar",8171/3,fibrolamellar hepatocellular carcinoma
"hepatocellular carcinoma, fibrolamellar",8171/3,hepatocellular carcinoma fibrolamellar
"hepatocellular carcinoma, scirrhous",8172/3,sclerosing hepatic carcinoma
"hepatocellular carcinoma, scirrhous",8172/3,scirrhous hepatocellular carcinoma
"hepatocellular carcinoma, scirrhous",8172/3,hepatocellular carcinoma scirrhous
"hepatocellular carcinoma, spindle cell variant",8173/3,"hepatocellular carcinoma, sarcomatoid"
"hepatocellular carcinoma, spindle cell variant",8173/3,spindle cell variant hepatocellular carcinoma
"hepatocellular carcinoma, spindle cell variant",8173/3,hepatocellular carcinoma spindle cell variant
